Date,Sales Representative,Product/Service,Region/Location,Customer,Sales Amount (INR),Units Sold,Sales Channel,Discount Offered (INR or %),Profit (INR),Cost of Goods Sold (COGS) (INR),Order Status,Payment Method,Lead Source
2024-09-08,Amit,Laptop,Lucknow,Arjun Sama,98171,1,Retail,22378.127518133766,8986.954946646369,66805.91753521987,Shipped,Cash on Delivery (COD),Advertisement
2024-08-06,Sushma,Bluetooth Speaker,Delhi,Garima Dhillon,725,5,Online,375.0,94.76179026358909,255.2382097364109,Cancelled,Credit Card,Direct Visit
2024-07-09,Vikram,Air Conditioner,Delhi,Tripti Dua,30520,1,Online,6049.33876639088,4961.6504662324805,19509.01076737664,Cancelled,UPI,Direct Visit
2024-09-14,Sushma,Refrigerator,Bangalore,Mohini Bail,45625,2,Retail,10084.036560828148,11165.405358936076,24375.558080235776,Cancelled,UPI,Social Media
2024-02-19,Sushma,Air Conditioner,Kolkata,Nidhi Bera,41706,1,Online,3020.0,15643.441451410836,23042.558548589164,Returned,Debit Card,Email
2024-09-25,Amit,Camera,Delhi,Garima Srivastava,67002,2,Online,6926.275340702707,25603.12107846407,34472.60358083322,Shipped,Cash on Delivery (COD),Referral
2024-03-02,Neha,Air Conditioner,Lucknow,Bina Kant,26473,1,Online,689.0,11287.554384396359,14496.445615603641,Completed,Debit Card,Advertisement
2024-03-17,Sushma,Camera,Chennai,Netra Kashyap,24463,1,Retail,2209.0,7415.193454675904,14838.806545324096,Pending,Net Banking,Referral
2024-12-13,Manoj,Laptop,Bangalore,Anthony Bandi,89635,2,Retail,4422.0,26066.801208832025,59146.198791167975,Completed,Cash on Delivery (COD),Search Engine
2024-11-13,Amit,Washing Machine,Kolkata,Chanakya Mannan,29181,1,Retail,1041.0,12252.937785657361,15887.062214342639,Pending,Net Banking,Referral
2024-11-05,Karan,Laptop,Bangalore,Gayathri Shetty,65980,2,Retail,937.0,24304.61109903342,40738.38890096658,Pending,Debit Card,Social Media
2024-09-05,Priya,Camera,Jaipur,Rehaan Rajan,22001,2,Retail,1862.264307326493,7209.098566847893,12929.637125825613,Completed,UPI,Referral
2024-04-03,Anjali,Headphones,Pune,Andrew Desai,1658,5,Retail,102.73366237674995,868.8691751512646,686.3971624719854,Cancelled,Debit Card,Advertisement
2024-10-14,Karan,Smartwatch,Hyderabad,Jalsa Kunda,20182,1,Retail,3453.6851058048624,4959.306865458061,11769.008028737077,Pending,Credit Card,Advertisement
2024-08-21,Anjali,Headphones,Jaipur,Michael Khurana,8514,2,Retail,508.0,3036.4909890995896,4969.50901090041,Cancelled,Net Banking,Referral
2024-04-03,Anjali,Washing Machine,Lucknow,Gunbir Raman,44462,1,Online,3367.8456959788405,16527.92440081977,24566.229903201387,Cancelled,Net Banking,Referral
2024-09-13,Vikram,Camera,Jaipur,Hema Varughese,36996,1,Online,2104.5589415252584,10231.073739334672,24660.36731914007,Shipped,Credit Card,Direct Visit
2025-01-06,Ravi,Refrigerator,Kolkata,Samesh Bawa,38326,1,Online,2634.0,11678.356602018415,24013.643397981585,Returned,UPI,Advertisement
2024-03-26,Sushma,Camera,Chennai,Nikita Bera,88633,2,Retail,4374.0,31110.719378446913,53148.28062155309,Completed,Net Banking,Social Media
